NCM,MES,recall,precision,grupo_mes
31022100-0,11,0.3333333333333333,1.0,1
31055900-0,11,0.3333333333333333,0.5,1
31054000-0,11,0.5,1.0,1
31021010-0,11,0.5,0.2,1
31042090-0,11,0.9,0.9,1
31059090-0,11,0.0,0.0,1
31022100-0,11,0.0,0.0,1
31055900-0,11,0.3333333333333333,0.5,1
31054000-0,11,0.5,1.0,1
31021010-0,11,0.0,0.0,1
31042090-0,11,0.9,0.9,1
31059090-0,11,0.0,0.0,1
31022100-0,11,0.5,0.4,2
31042090-0,11,1.0,0.875,2
31055900-0,11,0.75,1.0,2
31054000-0,11,1.0,1.0,2
31021010-0,11,0.75,0.6,2
31059090-0,11,0.25,1.0,2
31022100-0,11,0.5,0.4,2
31042090-0,11,1.0,0.875,2
31055900-0,11,0.75,1.0,2
31054000-0,11,1.0,1.0,2
31021010-0,11,0.75,0.6,2
31059090-0,11,0.25,1.0,2
31059090-0,11,0.8,0.6666666666666666,3
31042090-0,11,1.0,1.0,3
31022100-0,11,0.6666666666666666,0.5,3
31055900-0,11,1.0,1.0,3
31054000-0,11,1.0,1.0,3
31021010-0,11,0.6,1.0,3
31059090-0,11,0.8,0.6666666666666666,3
31042090-0,11,1.0,1.0,3
31022100-0,11,0.6666666666666666,0.5,3
31055900-0,11,1.0,1.0,3
31054000-0,11,1.0,1.0,3
31021010-0,11,0.6,1.0,3
31042090-0,11,1.0,1.0,6
31022100-0,11,1.0,0.7777777777777778,6
31059090-0,11,0.75,1.0,6
31054000-0,11,1.0,1.0,6
31021010-0,11,0.6,0.75,6
31055900-0,11,1.0,0.5,6
31042090-0,11,1.0,1.0,6
31022100-0,11,1.0,0.7777777777777778,6
31059090-0,11,0.75,1.0,6
31054000-0,11,1.0,1.0,6
31021010-0,11,0.6,0.75,6
31055900-0,11,1.0,0.5,6
